County FA,Region,Club Name,Team Name,Club PFF ID,Team PFF ID,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League,Season,Accreditation Status,Star Level,All Teams in the Club are Disabled?,No Teams in the Club are in a League?
Cornwall FA,West,"""Saints"" St Austell",Walking,87222,400064,GRF,Open,Adult,Male,NonDisability,Non-NLS,5v5,Walking Football,Age UK Cornwall Walking Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Austell,1st,78313,394662,NLS 5-6,Open,Adult,Male,NonDisability,Step 6,11v11,Football,South West Peninsula Football League Ltd,2024/25,In Progress,★,No,Yes
Cornwall FA,West,AFC St Austell,1st,78313,394662,NLS 5-6,Open,Adult,Male,NonDisability,Step 6,11v11,Football,Western Football League,2024/25,In Progress,★,No,Yes
Cornwall FA,West,AFC St Austell,2nd,78313,394670,NLS 5-6,Open,Adult,Male,NonDisability,Step 7,11v11,Football,St Piran Football League,2024/25,In Progress,★,No,Yes
Cornwall FA,West,AFC St Austell Ladies,1st,88629,399633,GRF,Open,Adult,Female,NonDisability,Tier 5 Womens Regional League Premier,11v11,Football,South West Women's Football League,2024/25,In Progress,★,No,Yes
Cornwall FA,West,AFC St Austell Youth,,82254,399283,GRF,U18,Youth,Male,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League,2024/25,In Progress,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,,83889,400343,GRF,U14,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,,83889,400374,GRF,U15,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,,83889,400431,GRF,U18,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,Bears,83889,546355,GRF,U10,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,Cobras,83889,400427,GRF,U10,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,Cyclones,83889,517953,GRF,U8,Youth,Mixed,NonDisability,Non-NLS,5v5,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,Dragons,83889,400356,GRF,U13,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,Dynamos,83889,499845,GRF,U8,Youth,Mixed,NonDisability,Non-NLS,5v5,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,Girls,83889,400312,GRF,U13,Youth,Female,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,Girls,83889,400349,GRF,U15,Youth,Female,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
Cornwall FA,West,AFC St Blazey Youth,Hawks,83889,400418,GRF,U10,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Cornwall Youth Football League,2024/25,Accredited,★,No,Yes
