Postcode,Longitude,Latitude,PAR23CD
PL26 7AG,-4.79044,50.32697,E04013072
PL25 4LA,-4.78991,50.33938,E04013080
PL25 4LA,-4.78991,50.33938,E04013080
PL25 4LA,-4.78991,50.33938,E04013080
PL23 1HE,-4.6436439,50.3350202,E04011436
PL15 7RF,-4.50681,50.61283,E04011400
PL30 3AS,-4.733311779999999,50.55296784,E04011584
PL24 2SX,-4.74913,50.3726,E04011476
PL31 2AE,-4.71567,50.47065,E04011404
PL31 2AE,-4.71567,50.47065,E04011404
PL31 1DU,-4.715,50.46571,E04011404
PL35 0DP,-4.69786,50.68328,E04011435
TR7 3BH,-5.0584066,50.416489,E04013070
EX23 8DR,-4.5361755,50.8292447,E04011409
EX23 8DR,-4.5361755,50.8292447,E04011409
PL17 7DR,-4.307801133333333,50.50615863333333,E04011411
PL17 7DR,-4.307801133333333,50.50615863333333,E04011411
PL17 7DR,-4.307801133333333,50.50615863333333,E04011411
PL31 2GT,-4.7078248,50.47656735,E04011404
PL18 9QR,-4.2054,50.49588,E04011412
TR11 4LH,-5.0964087,50.1584023,E04013058
PL32 9TS,-4.67433,50.62745,E04011414
PL32 9TS,-4.67433,50.62745,E04011414
TR16 5SF,-5.18289,50.22596,E04013050
TR4 8LR,-5.163696066666667,50.255888266666666,E04013051
PL26 7DT,-4.82187,50.32764,E04013090
PL26 7DT,-4.82187,50.32764,E04013090
PL24 2PB,-4.70163,50.35279,E04011601
TR11 5AG,-5.1792703,50.1202211,E04011421
PL17 8PB,-4.3242046,50.5462286,E04011589
PL26 7RN,-4.891398,50.3385964,E04011580
TR15 3QS,-5.26712025,50.22411655,E04011418
TR12 7QR,-5.23334,50.07239,E04011483
PL33 9AL,-4.7335809,50.6225513,E04013055
PL14 4LU,-4.512705,50.4560982,E04013056
PL14 4LU,-4.512705,50.4560982,E04013056
TR20 9QE,-5.4174412,50.1158913,E04013087
TR20 9QE,-5.4174412,50.1158913,E04013087
TR14 7QG,-5.30496375,50.2085337,E04011413
TR8 5BZ,-5.0053,50.35113,E04013091
TR16 6RB,-5.2393794,50.2048969,E04011418
TR11 2EL,-5.0812092,50.1549578,E04013058
TR11 4LH,-5.0964087,50.1584023,E04013058
TR11 2EL,-5.0812092,50.1549578,E04013058
TR11 4PB,-5.09989,50.15647,E04013058
TR11 4PB,-5.09989,50.15647,E04013058
TR10 8PZ,-5.1172827,50.1672101,E04013071
TR10 8PZ,-5.1172827,50.1672101,E04013071
TR11 4LH,-5.0964087,50.1584023,E04013058
PL26 7WH,-4.8633499,50.35967,E04011580
PL26 7WH,-4.8633499,50.35967,E04011580
TR4 8SA,-5.1489314,50.2168051,E04013060
TR11 4LH,-5.0964087,50.1584023,E04013058
TR11 4LH,-5.0964087,50.1584023,E04013058
TR2 5AA,-5.01676,50.16718,E04011560
TR7 3BU,-5.05897,50.41941,E04013070
TR7 3BU,-5.05897,50.41941,E04013070
TR6 0AJ,-5.13325,50.34576,E04011508
TR6 0AJ,-5.13325,50.34576,E04011508
TR6 0AJ,-5.13325,50.34576,E04011508
PL26 6HP,-4.80541,50.2446,E04011552
PL26 6HP,-4.80541,50.2446,E04011552
TR2 4SB,-4.9017169916666665,50.29850616666667,E04013059
TR2 4SB,-4.9017169916666665,50.29850616666667,E04013059
TR2 4SB,-4.9017169916666665,50.29850616666667,E04013059
TR1 1SG,-5.03696545,50.2529573,E04013097
PL18 9SD,-4.22084,50.50462,E04011412
TR19 7DX,-5.65941,50.1523899,E04011559
TR27 5HT,-5.39937,50.19029,E04013062
TR27 5HT,-5.39937,50.19029,E04013062
TR13 8PJ,-5.26579925,50.10488475,E04013063
TR13 8PJ,-5.26579925,50.10488475,E04013063
TR13 8PJ,-5.26579925,50.10488475,E04013063
PL11 2PD,-4.22494,50.37363,E04011591
TR14 7QG,-5.30496375,50.2085337,E04011413
TR16 4DQ,-5.26158,50.24203,E04011448
TR16 4DQ,-5.26158,50.24203,E04011448
TR9 6QH,-4.93187,50.395,E04013085
TR9 6QH,-4.93187,50.395,E04013085
PL17 8PB,-4.3242046,50.5462286,E04011589
TR15 3RD,-5.276083347058823,50.22790707058824,E04011418
TR4 8SA,-5.1489314,50.2168051,E04013060
EX23 9QU,-4.4875204,50.8719451,E04011452
EX23 9QU,-4.4875204,50.8719451,E04011452
PL17 7DR,-4.307801133333333,50.50615863333333,E04011411
PL30 5HG,-4.76212,50.44268,E04011459
PL30 5HG,-4.76212,50.44268,E04011459
TR16 6GZ,-5.1909599,50.21215,E04011461
PL13 2NX,-4.56121,50.38472,E04011462
PL15 7ED,-4.3732429,50.6273883,E04011466
TR13 0AN,-5.30999,50.14291,E04011423
PL14 3HZ,-4.4629552,50.4605849,E04013065
TR12 7PB,-5.1996969,49.969263,E04011454
TR12 7PB,-5.1996969,49.969263,E04011454
PL13 1NW,-4.4488,50.36203,E04013066
PL13 1NW,-4.4488,50.36203,E04013066
PL22 0HA,-4.6688166,50.4089654,E04011474
PL22 0HA,-4.6688166,50.4089654,E04011474
TR20 8ES,-5.48554,50.1458,E04013067
TR20 8ES,-5.48554,50.1458,E04013067
TR20 8ES,-5.48554,50.1458,E04013067
TR12 7JL,-5.18202515,49.99308275,E04011439
TR11 5JD,-5.10666,50.11482,E04011485
PL26 6SA,-4.79586,50.2745,E04011487
PL26 6SA,-4.79586,50.2745,E04011487
PL10 1EN,-4.20535,50.34955,E04011489
EX23 9SL,-4.52505,50.9043599,E04011492
EX23 9SL,-4.52505,50.9043599,E04011492
TR19 6XB,-5.54818,50.08985,E04011505
TR19 6XB,-5.54818,50.08985,E04011505
TR19 6BB,-5.6202083,50.07393035,E04013082
TR12 7EQ,-5.24881,50.0231,E04011493
PL26 7YE,-4.8695199,50.36898,E04011580
TR18 3QW,-5.54177,50.121948,E04011505
TR7 2BU,-5.08383135,50.41038195,E04013070
TR7 3BH,-5.0584066,50.416489,E04013070
PL15 7NH,-4.4298,50.56616,E04011496
PL15 8LR,-4.43577,50.6814899,E04011497
PL15 8LR,-4.43577,50.6814899,E04011497
PL28 8LE,-4.94508,50.5306799,E04011500
PL28 8LE,-4.94508,50.5306799,E04011500
PL28 8LE,-4.94508,50.5306799,E04011500
TR19 7DX,-5.65941,50.1523899,E04011559
TR10 8QE,-5.11652,50.16418,E04013071
TR10 8QE,-5.11652,50.16418,E04013071
PL14 5PG,-4.4111652,50.5050654,E04011555
PL14 5RP,-4.41036,50.5037499,E04011555
TR18 2SA,-5.5442599,50.1257262,E04011505
TR18 3DX,-5.54595525,50.12270405,E04011505
TR18 4NE,-5.5425484,50.1137693,E04011505
TR18 5HS,-5.55116655,50.1069132,E04011505
TR18 5HS,-5.55116655,50.1069132,E04011505
TR6 0DB,-5.14316,50.34538,E04011508
TR6 0DB,-5.14316,50.34538,E04011508
TR3 6JH,-5.07838,50.22178,E04011434
TR3 7LA,-5.1230894,50.2092519,E04013073
PL26 7RN,-4.891398,50.3385964,E04011580
PL13 2JQ,-4.51103,50.33907,E04013075
PL13 2JQ,-4.51103,50.33907,E04013075
PL27 6LT,-4.9055799,50.5493499,E04011575
TR13 9LQ,-5.31659,50.0888,E04011511
TR13 9LQ,-5.31659,50.0888,E04011511
TR13 0AN,-5.30999,50.14291,E04011423
TR2 4JR,-4.94994,50.29211,E04013078
TR2 4JR,-4.94994,50.29211,E04013078
TR15 2NQ,-5.2187599,50.22343,E04011461
TR15 2NQ,-5.2187599,50.22343,E04011461
TR15 2NQ,-5.2187599,50.22343,E04011461
TR12 7RH,-5.25797,50.08254,E04011483
TR12 7RH,-5.25797,50.08254,E04011483
PL26 8HD,-4.83098,50.40007,E04011517
TR2 5SE,-4.906305,50.2713925,E04013096
PL24 2PB,-4.70163,50.35279,E04011601
TR1 1TH,-5.04104855,50.25993805,E04013097
PL12 6LG,-4.21594,50.41517,E04011519
PL12 6LG,-4.21594,50.41517,E04011519
PL12 6LG,-4.21594,50.41517,E04011519
PL12 6DX,-4.219262133333333,50.4098482,E04011519
PL12 6DX,-4.219262133333333,50.4098482,E04011519
PL12 6DX,-4.219262133333333,50.4098482,E04011519
PL12 4JN,-4.23562,50.4114099,E04011519
PL15 9HP,-4.3609376,50.627822,E04011466
PL15 9JR,-4.3587257,50.6300283,E04011466
PL12 6LG,-4.21594,50.41517,E04011519
TR16 4RN,-5.26676,50.2435199,E04011448
TR5 0SL,-5.20665,50.31332,E04013079
TR5 0SL,-5.20665,50.31332,E04013079
TR5 0SL,-5.20665,50.31332,E04013079
TR5 0SL,-5.20665,50.31332,E04013079
TR4 8HS,-5.16505256,50.278855719999996,E04011451
PL25 4BZ,-4.7866729,50.3427052,E04013080
PL24 2ND,-4.714454,50.3606782,E04011531
PL30 4NY,-4.68923065,50.55212415,E04011533
TR19 6BB,-5.6202083,50.07393035,E04013082
TR19 6BB,-5.6202083,50.07393035,E04013082
PL14 6EE,-4.47803,50.48713,E04011535
TR9 6RX,-4.94141,50.43352,E04011538
TR9 6RX,-4.94141,50.43352,E04011538
TR16 5NQ,-5.18874,50.23853,E04013084
TR16 5NQ,-5.18874,50.23853,E04013084
PL26 8DH,-4.88746,50.38411,E04011540
PL26 8DH,-4.88746,50.38411,E04011540
PL12 6SU,-4.2512826,50.4866998,E04011541
TR7 3BU,-5.05897,50.41941,E04013070
TR13 0AN,-5.30999,50.14291,E04011423
TR27 6GH,-5.44297,50.17714,E04011556
TR27 6GH,-5.44297,50.17714,E04011556
TR19 7LE,-5.68596,50.12259,E04011559
TR19 7LE,-5.68596,50.12259,E04011559
TR12 6NQ,-5.086684833333334,50.04961446666667,E04011561
TR8 4AQ,-5.0288234,50.4570572,E04011484
TR8 4AQ,-5.0288234,50.4570572,E04011484
PL28 8NN,-4.98758,50.52262,E04011569
PL28 8NN,-4.98758,50.52262,E04011569
TR27 5BH,-5.409323,50.206986,E04013062
TR14 7QP,-5.311303,50.208501,E04011413
PL27 6LT,-4.9055799,50.5493499,E04011575
PL31 2GT,-4.7078248,50.47656735,E04011404
TR8 5LB,-5.05841,50.3665499,E04013091
TR16 5NQ,-5.18874,50.23853,E04013084
PL26 7PZ,-4.8924899,50.34848,E04011580
PL26 7RN,-4.891398,50.3385964,E04011580
PL30 3JX,-4.7380338,50.5951622,E04013092
PL30 3JX,-4.7380338,50.5951622,E04013092
TR27 5HT,-5.39937,50.19029,E04013062
PL26 7EN,-4.85004,50.32308,E04013090
PL26 7EN,-4.85004,50.32308,E04013090
TR3 7DH,-5.1787206333333335,50.1904953,E04011588
TR13 0AN,-5.30999,50.14291,E04011423
TR1 1SG,-5.03696545,50.2529573,E04013097
TR1 1SG,-5.03696545,50.2529573,E04013097
PL34 0AT,-4.74287,50.66566,E04011590
PL11 2NH,-4.2070405,50.3775551,E04011591
PL11 2RE,-4.20718,50.37282,E04011591
PL11 2PD,-4.22494,50.37363,E04011591
TR2 5RP,-4.90924215,50.2709612,E04013096
TR2 5RP,-4.90924215,50.2709612,E04013096
PL26 7AG,-4.79044,50.32697,E04013072
TR11 4LH,-5.0964087,50.1584023,E04013058
TR4 9JQ,-5.03057,50.31856,E04011544
TR14 9HT,-5.27252,50.19598,E04011413
TR14 9HT,-5.27252,50.19598,E04011413
TR1 3EQ,-5.06739,50.27307,E04013097
TR4 9AN,-5.12095625,50.26857535,E04011451
TR3 6JH,-5.07838,50.22178,E04011434
TR1 3EQ,-5.06739,50.27307,E04013097
TR1 3XX,-5.1009665625,50.262851175,E04011451
TR1 1TH,-5.04104855,50.25993805,E04013097
TR1 1JX,-5.04561,50.26837,E04013097
PL27 6EA,-4.82805,50.52213,E04013098
PL27 6EA,-4.82805,50.52213,E04013098
PL27 6EA,-4.82805,50.52213,E04013098
EX22 6XN,-4.50568,50.75016,E04011606
EX22 6XN,-4.50568,50.75016,E04011606
TR13 0EH,-5.1928532,50.1625254,E04013099
TR13 0EH,-5.1928532,50.1625254,E04013099
TR13 0EH,-5.1928532,50.1625254,E04013099
TR15 3RD,-5.276083347058823,50.22790707058824,E04011418
