,County FA,Region,Club Name,Club PFF ID,Accreditation Status,Star Level,Affiliated Teams,Affiliated Teams Banding,Club Type,Club Sub Type,Parent or Child Club?,Parent Club PFF ID,WGS Club ID,Club Main Ground,Address,Town,Authority,Postcode,PitchFinder ID,Longitude,Latitude,PAR23CD,Subteams
0,Cornwall FA,West,Week St Mary,93512,Accredited,1,1,1-4,Club,GRF,Parent,,3c9bd6e7-1480-e311-8b4d-001e4f28882a,SANDERS FIELD,,Holsworthy,Cornwall,EX22 6XN,1041442,-4.50552,50.75021,E04011606,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Week St Mary,1st,GRF,Open,Adult,Male,NonDisability,Non-NLS,11v11,Football,St Piran Football League
"
1,Cornwall FA,West,Week St Mary Youth,81723,Accredited,1,4,1-4,Club,GRF,Child,93512.0,cd2a37bb-1d80-e311-8b4d-001e4f28882a,SANDERS FIELD,,Holsworthy,Cornwall,EX22 6XN,1041442,-4.504519999999999,50.75021,E04011606,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Week St Mary Youth,,GRF,U12,Youth,Mixed,NonDisability,Non-NLS,9v9,Football,Cornwall Youth Football League
Week St Mary Youth,,GRF,U10,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Cornwall Youth Football League
Week St Mary Youth,,GRF,U8,Youth,Mixed,NonDisability,Non-NLS,5v5,Football,Cornwall Youth Football League
Week St Mary Youth,Colts,GRF,U15,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League
"
2,Cornwall FA,West,Bude Town,74828,In Progress,2,3,1-4,Club,NLS 5-6,Parent,,91176ecf-1480-e311-8b4d-001e4f28882a,BROAD CLOSE,,Bude,Cornwall,EX23 8DR,1041320,-4.5361755,50.8292447,E04011409,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Bude Town,1st,NLS 5-6,Open,Adult,Male,NonDisability,Step 6,11v11,Football,South West Peninsula Football League Ltd
Bude Town,2nd,NLS 5-6,Open,Adult,Male,NonDisability,Non-NLS,11v11,Football,St Piran Football League
Bude Town,Vets,NLS 5-6,Veterans,Adult,Male,NonDisability,Non-NLS,11v11,Football,Cornwall Veterans League
"
3,Cornwall FA,West,Bude Town Youth,74830,In Progress,2,14,11-20,Club,GRF,Child,74828.0,119bd6e7-1480-e311-8b4d-001e4f28882a,BROAD CLOSE,,Bude,Cornwall,EX23 8DR,1041320,-4.535175499999999,50.8292447,E04011409,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Bude Town Youth,,GRF,U10,Youth,Mixed,NonDisability,Friendly,7v7,Football,Cornwall Youth Football League
Bude Town Youth,,GRF,U9,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Cornwall Youth Football League
Bude Town Youth,,GRF,U8,Youth,Mixed,NonDisability,Non-NLS,5v5,Football,Cornwall Youth Football League
Bude Town Youth,Blades,GRF,U11,Youth,Mixed,NonDisability,Non-NLS,9v9,Football,Cornwall Youth Football League
Bude Town Youth,Blazers,GRF,U12,Youth,Mixed,NonDisability,Non-NLS,9v9,Football,Cornwall Youth Football League
Bude Town Youth,Blues,GRF,U14,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League
Bude Town Youth,Bravehearts,GRF,U11,Youth,Mixed,NonDisability,Non-NLS,9v9,Football,Cornwall Youth Football League
Bude Town Youth,Girls,GRF,U13,Youth,Female,NonDisability,Non-NLS,9v9,Football,Cornwall Youth Football League
Bude Town Youth,Girls,GRF,U15,Youth,Female,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League
Bude Town Youth,Girls,GRF,U11,Youth,Female,NonDisability,Friendly,9v9,Football,Cornwall Youth Football League
Bude Town Youth,Girls,GRF,U9,Youth,Female,NonDisability,Non-NLS,7v7,Football,Cornwall Youth Football League
Bude Town Youth,Purples,GRF,U13,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League
Bude Town Youth,Sky Blues,GRF,U12,Youth,Mixed,NonDisability,Non-NLS,9v9,Football,Cornwall Youth Football League
Bude Town Youth,Swifts,GRF,U18,Youth,Female,NonDisability,Non-NLS,11v11,Football,Cornwall U18 Girls Football League
Bude Town Youth,Swifts,GRF,U18,Youth,Female,NonDisability,Non-NLS,11v11,Football,Cornwall Youth Football League
"
4,Cornwall FA,West,Kilkhampton,79768,In Progress,1,2,1-4,Club,GRF,Parent,,cf8c71db-1480-e311-8b4d-001e4f28882a,LAMB PARK,"A39, KILKHAMPTON",Bude,Cornwall,EX23 9QU,6015276,-4.4875204,50.8719451,E04011452,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Kilkhampton,1st,GRF,Open,Adult,Male,NonDisability,Non-NLS,11v11,Football,St Piran Football League
Kilkhampton,2nd,GRF,Open,Adult,Male,NonDisability,Non-NLS,11v11,Football,St Piran Football League
"
5,Cornwall FA,West,Kilkhampton Women,109008,Non Accredited,0,1,1-4,Club,GRF,Parent,,58429e70-e727-ef11-b6e3-005056bc5e93,LAMB PARK,"A39, KILKHAMPTON",Bude,Cornwall,EX23 9QU,6015276,-4.4865204,50.8719451,E04011452,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Kilkhampton Women,1st,GRF,Open,Adult,Female,NonDisability,Non-NLS,11v11,Football,Cornwall Women's Football League
"
6,Cornwall FA,West,Morwenstow,74231,In Progress,1,3,1-4,Club,GRF,Parent,,ec8c71db-1480-e311-8b4d-001e4f28882a,THE PLAYING FIELD,,Bude,Cornwall,EX23 9SL,6020921,-4.52505,50.9043599,E04011492,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Morwenstow,1st,GRF,Open,Adult,Male,NonDisability,Non-NLS,11v11,Football,North Devon Football League
Morwenstow,2nd,GRF,Open,Adult,Male,NonDisability,Non-NLS,11v11,Football,North Devon Football League
Morwenstow,Walking,GRF,Open,Adult,Mixed,NonDisability,Non-NLS,5v5,Walking Football,Age UK Cornwall Walking Football League
"
7,Cornwall FA,West,Morwenstow Youth,74232,In Progress,1,8,5-10,Club,GRF,Child,74231.0,e49ad6e7-1480-e311-8b4d-001e4f28882a,THE PLAYING FIELD,,Bude,Cornwall,EX23 9SL,6020921,-4.52405,50.9043599,E04011492,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Morwenstow Youth,,GRF,U10,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,North Devon Youth League
Morwenstow Youth,,GRF,U14,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,North Devon Youth League
Morwenstow Youth,,GRF,U13,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,North Devon Youth League
Morwenstow Youth,,GRF,U15,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,North Devon Youth League
Morwenstow Youth,,GRF,U12,Youth,Mixed,NonDisability,Non-NLS,9v9,Football,North Devon Youth League
Morwenstow Youth,,GRF,U8,Youth,Mixed,NonDisability,Non-NLS,5v5,Football,Cornwall Youth Football League
Morwenstow Youth,,GRF,U9,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Cornwall Youth Football League
Morwenstow Youth,,GRF,U16,Youth,Mixed,NonDisability,Non-NLS,11v11,Football,North Devon Youth League
"
8,Cornwall FA,West,Millbrook,74069,Accredited,1,2,1-4,Club,NLS 5-6,Parent,,b59474d5-1480-e311-8b4d-001e4f28882a,JENKINS PARK,MILLBROOK FOOTBALL CLUB MILL ROAD,MILLBROOK,Cornwall,PL10 1EN,6020511,-4.20535,50.34955,E04011489,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Millbrook,1st,NLS 5-6,Open,Adult,Male,NonDisability,Step 5,11v11,Football,South West Peninsula Football League Ltd
Millbrook,1st,NLS 5-6,Open,Adult,Male,NonDisability,Step 5,11v11,Football,Western Football League
Millbrook,2nd,NLS 5-6,Open,Adult,Male,NonDisability,Step 7,11v11,Football,St Piran Football League
"
9,Cornwall FA,West,Torpoint AFC Juniors,79942,In Progress,1,5,5-10,Club,GRF,Parent,,d3c7c467-1c80-e311-8b4d-001e4f28882a,CARBEILE JUNIOR SCHOOL,TREVOL ROAD,Torpoint,Cornwall,PL11 2NH,30007618,-4.2070405,50.3775551,E04011591,"Club Name,Team Name,Club Sub Type,Team Age Group,Adult or Youth Team?,Team Gender,Team Disability Type,Team Football Level,Team Match Category,Team Type,League
Torpoint AFC Juniors,Carbeile,GRF,U9,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Adrenalin Devon Junior & Minor League
Torpoint AFC Juniors,Hawkes,GRF,U8,Youth,Mixed,NonDisability,Non-NLS,5v5,Football,
Torpoint AFC Juniors,Polhawn,GRF,U10,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Adrenalin Devon Junior & Minor League
Torpoint AFC Juniors,Sharrow,GRF,U10,Youth,Mixed,NonDisability,Non-NLS,7v7,Football,Adrenalin Devon Junior & Minor League
Torpoint AFC Juniors,Under 7,GRF,U7,Youth,Mixed,NonDisability,Non-NLS,5v5,Football,
"
