,County FA,Region,Club Name,Club PFF ID,Accreditation Status,Star Level,Affiliated Teams,Affiliated Teams Banding,Club Type,Club Sub Type,Parent or Child Club?,Parent Club PFF ID,WGS Club ID,Club Main Ground,Address,Town,Authority,Postcode,PitchFinder ID,Longitude,Latitude,PAR23CD,Subteams
0,Cornwall FA,West,Week St Mary,93512,Accredited,1,1,1-4,Club,GRF,Parent,,3c9bd6e7-1480-e311-8b4d-001e4f28882a,SANDERS FIELD,,Holsworthy,Cornwall,EX22 6XN,1041442,-4.50552,50.75021,E04011606,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
Week St MaryZ1stZGRFZOpenZAdultZMaleZNonDisabilityZNon-NLSZ11v11ZFootballZSt Piran Football League
"
1,Cornwall FA,West,Week St Mary Youth,81723,Accredited,1,4,1-4,Club,GRF,Child,93512.0,cd2a37bb-1d80-e311-8b4d-001e4f28882a,SANDERS FIELD,,Holsworthy,Cornwall,EX22 6XN,1041442,-4.504519999999999,50.75021,E04011606,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
Week St Mary YouthZZGRFZU12ZYouthZMixedZNonDisabilityZNon-NLSZ9v9ZFootballZCornwall Youth Football League
Week St Mary YouthZZGRFZU10ZYouthZMixedZNonDisabilityZNon-NLSZ7v7ZFootballZCornwall Youth Football League
Week St Mary YouthZZGRFZU8ZYouthZMixedZNonDisabilityZNon-NLSZ5v5ZFootballZCornwall Youth Football League
Week St Mary YouthZColtsZGRFZU15ZYouthZMixedZNonDisabilityZNon-NLSZ11v11ZFootballZCornwall Youth Football League
"
2,Cornwall FA,West,Bude Town,74828,In Progress,2,3,1-4,Club,NLS 5-6,Parent,,91176ecf-1480-e311-8b4d-001e4f28882a,BROAD CLOSE,,Bude,Cornwall,EX23 8DR,1041320,-4.5361755,50.8292447,E04011409,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
Bude TownZ1stZNLS 5-6ZOpenZAdultZMaleZNonDisabilityZStep 6Z11v11ZFootballZSouth West Peninsula Football League Ltd
Bude TownZ2ndZNLS 5-6ZOpenZAdultZMaleZNonDisabilityZNon-NLSZ11v11ZFootballZSt Piran Football League
Bude TownZVetsZNLS 5-6ZVeteransZAdultZMaleZNonDisabilityZNon-NLSZ11v11ZFootballZCornwall Veterans League
"
3,Cornwall FA,West,Bude Town Youth,74830,In Progress,2,14,11-20,Club,GRF,Child,74828.0,119bd6e7-1480-e311-8b4d-001e4f28882a,BROAD CLOSE,,Bude,Cornwall,EX23 8DR,1041320,-4.535175499999999,50.8292447,E04011409,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
Bude Town YouthZZGRFZU10ZYouthZMixedZNonDisabilityZFriendlyZ7v7ZFootballZCornwall Youth Football League
Bude Town YouthZZGRFZU9ZYouthZMixedZNonDisabilityZNon-NLSZ7v7ZFootballZCornwall Youth Football League
Bude Town YouthZZGRFZU8ZYouthZMixedZNonDisabilityZNon-NLSZ5v5ZFootballZCornwall Youth Football League
Bude Town YouthZBladesZGRFZU11ZYouthZMixedZNonDisabilityZNon-NLSZ9v9ZFootballZCornwall Youth Football League
Bude Town YouthZBlazersZGRFZU12ZYouthZMixedZNonDisabilityZNon-NLSZ9v9ZFootballZCornwall Youth Football League
Bude Town YouthZBluesZGRFZU14ZYouthZMixedZNonDisabilityZNon-NLSZ11v11ZFootballZCornwall Youth Football League
Bude Town YouthZBraveheartsZGRFZU11ZYouthZMixedZNonDisabilityZNon-NLSZ9v9ZFootballZCornwall Youth Football League
Bude Town YouthZGirlsZGRFZU13ZYouthZFemaleZNonDisabilityZNon-NLSZ9v9ZFootballZCornwall Youth Football League
Bude Town YouthZGirlsZGRFZU15ZYouthZFemaleZNonDisabilityZNon-NLSZ11v11ZFootballZCornwall Youth Football League
Bude Town YouthZGirlsZGRFZU11ZYouthZFemaleZNonDisabilityZFriendlyZ9v9ZFootballZCornwall Youth Football League
Bude Town YouthZGirlsZGRFZU9ZYouthZFemaleZNonDisabilityZNon-NLSZ7v7ZFootballZCornwall Youth Football League
Bude Town YouthZPurplesZGRFZU13ZYouthZMixedZNonDisabilityZNon-NLSZ11v11ZFootballZCornwall Youth Football League
Bude Town YouthZSky BluesZGRFZU12ZYouthZMixedZNonDisabilityZNon-NLSZ9v9ZFootballZCornwall Youth Football League
Bude Town YouthZSwiftsZGRFZU18ZYouthZFemaleZNonDisabilityZNon-NLSZ11v11ZFootballZCornwall U18 Girls Football League
Bude Town YouthZSwiftsZGRFZU18ZYouthZFemaleZNonDisabilityZNon-NLSZ11v11ZFootballZCornwall Youth Football League
"
4,Cornwall FA,West,Kilkhampton,79768,In Progress,1,2,1-4,Club,GRF,Parent,,cf8c71db-1480-e311-8b4d-001e4f28882a,LAMB PARK,"A39 KILKHAMPTON",Bude,Cornwall,EX23 9QU,6015276,-4.4875204,50.8719451,E04011452,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
KilkhamptonZ1stZGRFZOpenZAdultZMaleZNonDisabilityZNon-NLSZ11v11ZFootballZSt Piran Football League
KilkhamptonZ2ndZGRFZOpenZAdultZMaleZNonDisabilityZNon-NLSZ11v11ZFootballZSt Piran Football League
"
5,Cornwall FA,West,Kilkhampton Women,109008,Non Accredited,0,1,1-4,Club,GRF,Parent,,58429e70-e727-ef11-b6e3-005056bc5e93,LAMB PARK,"A39 KILKHAMPTON",Bude,Cornwall,EX23 9QU,6015276,-4.4865204,50.8719451,E04011452,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
Kilkhampton WomenZ1stZGRFZOpenZAdultZFemaleZNonDisabilityZNon-NLSZ11v11ZFootballZCornwall Women's Football League
"
6,Cornwall FA,West,Morwenstow,74231,In Progress,1,3,1-4,Club,GRF,Parent,,ec8c71db-1480-e311-8b4d-001e4f28882a,THE PLAYING FIELD,,Bude,Cornwall,EX23 9SL,6020921,-4.52505,50.9043599,E04011492,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
MorwenstowZ1stZGRFZOpenZAdultZMaleZNonDisabilityZNon-NLSZ11v11ZFootballZNorth Devon Football League
MorwenstowZ2ndZGRFZOpenZAdultZMaleZNonDisabilityZNon-NLSZ11v11ZFootballZNorth Devon Football League
MorwenstowZWalkingZGRFZOpenZAdultZMixedZNonDisabilityZNon-NLSZ5v5ZWalking FootballZAge UK Cornwall Walking Football League
"
7,Cornwall FA,West,Morwenstow Youth,74232,In Progress,1,8,5-10,Club,GRF,Child,74231.0,e49ad6e7-1480-e311-8b4d-001e4f28882a,THE PLAYING FIELD,,Bude,Cornwall,EX23 9SL,6020921,-4.52405,50.9043599,E04011492,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
Morwenstow YouthZZGRFZU10ZYouthZMixedZNonDisabilityZNon-NLSZ7v7ZFootballZNorth Devon Youth League
Morwenstow YouthZZGRFZU14ZYouthZMixedZNonDisabilityZNon-NLSZ11v11ZFootballZNorth Devon Youth League
Morwenstow YouthZZGRFZU13ZYouthZMixedZNonDisabilityZNon-NLSZ11v11ZFootballZNorth Devon Youth League
Morwenstow YouthZZGRFZU15ZYouthZMixedZNonDisabilityZNon-NLSZ11v11ZFootballZNorth Devon Youth League
Morwenstow YouthZZGRFZU12ZYouthZMixedZNonDisabilityZNon-NLSZ9v9ZFootballZNorth Devon Youth League
Morwenstow YouthZZGRFZU8ZYouthZMixedZNonDisabilityZNon-NLSZ5v5ZFootballZCornwall Youth Football League
Morwenstow YouthZZGRFZU9ZYouthZMixedZNonDisabilityZNon-NLSZ7v7ZFootballZCornwall Youth Football League
Morwenstow YouthZZGRFZU16ZYouthZMixedZNonDisabilityZNon-NLSZ11v11ZFootballZNorth Devon Youth League
"
8,Cornwall FA,West,Millbrook,74069,Accredited,1,2,1-4,Club,NLS 5-6,Parent,,b59474d5-1480-e311-8b4d-001e4f28882a,JENKINS PARK,MILLBROOK FOOTBALL CLUB MILL ROAD,MILLBROOK,Cornwall,PL10 1EN,6020511,-4.20535,50.34955,E04011489,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
MillbrookZ1stZNLS 5-6ZOpenZAdultZMaleZNonDisabilityZStep 5Z11v11ZFootballZSouth West Peninsula Football League Ltd
MillbrookZ1stZNLS 5-6ZOpenZAdultZMaleZNonDisabilityZStep 5Z11v11ZFootballZWestern Football League
MillbrookZ2ndZNLS 5-6ZOpenZAdultZMaleZNonDisabilityZStep 7Z11v11ZFootballZSt Piran Football League
"
9,Cornwall FA,West,Torpoint AFC Juniors,79942,In Progress,1,5,5-10,Club,GRF,Parent,,d3c7c467-1c80-e311-8b4d-001e4f28882a,CARBEILE JUNIOR SCHOOL,TREVOL ROAD,Torpoint,Cornwall,PL11 2NH,30007618,-4.2070405,50.3775551,E04011591,"Club NameZTeam NameZClub Sub TypeZTeam Age GroupZAdult or Youth Team?ZTeam GenderZTeam Disability TypeZTeam Football LevelZTeam Match CategoryZTeam TypeZLeague
Torpoint AFC JuniorsZCarbeileZGRFZU9ZYouthZMixedZNonDisabilityZNon-NLSZ7v7ZFootballZAdrenalin Devon Junior & Minor League
Torpoint AFC JuniorsZHawkesZGRFZU8ZYouthZMixedZNonDisabilityZNon-NLSZ5v5ZFootballZ
Torpoint AFC JuniorsZPolhawnZGRFZU10ZYouthZMixedZNonDisabilityZNon-NLSZ7v7ZFootballZAdrenalin Devon Junior & Minor League
Torpoint AFC JuniorsZSharrowZGRFZU10ZYouthZMixedZNonDisabilityZNon-NLSZ7v7ZFootballZAdrenalin Devon Junior & Minor League
Torpoint AFC JuniorsZUnder 7ZGRFZU7ZYouthZMixedZNonDisabilityZNon-NLSZ5v5ZFootballZ
"
