,County FA,Region,Club Name,Club PFF ID,Accreditation Status,Star Level,Affiliated Teams,Affiliated Teams Banding,Club Type,Club Sub Type,Parent or Child Club?,Parent Club PFF ID,WGS Club ID,Club Main Ground,Address,Town,Authority,Postcode,PitchFinder ID,Longitude,Latitude,PAR23CD,Subteams
0,Cornwall FA,West,Week St Mary,93512,Accredited,1,1,1-4,Club,GRF,Parent,,3c9bd6e7-1480-e311-8b4d-001e4f28882a,SANDERS FIELD,,Holsworthy,Cornwall,EX22 6XN,1041442,-4.50552,50.75021,E04011606,"                    Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                            
93512       905  Week St Mary       1st           GRF           Open   

                Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                             
93512       905                Adult        Male        NonDisability   

                Team Football Level Team Match Category Team Type  \
Club PFF ID                                                         
93512       905             Non-NLS               11v11  Football   

                                   League  
Club PFF ID                                
93512       905  St Piran Football League  "
1,Cornwall FA,West,Week St Mary Youth,81723,Accredited,1,4,1-4,Club,GRF,Child,93512.0,cd2a37bb-1d80-e311-8b4d-001e4f28882a,SANDERS FIELD,,Holsworthy,Cornwall,EX22 6XN,1041442,-4.504519999999999,50.75021,E04011606,"                          Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                                  
81723       906  Week St Mary Youth       NaN           GRF            U12   
            907  Week St Mary Youth       NaN           GRF            U10   
            908  Week St Mary Youth       NaN           GRF             U8   
            909  Week St Mary Youth     Colts           GRF            U15   

                Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                             
81723       906                Youth       Mixed        NonDisability   
            907                Youth       Mixed        NonDisability   
            908                Youth       Mixed        NonDisability   
            909                Youth       Mixed        NonDisability   

                Team Football Level Team Match Category Team Type  \
Club PFF ID                                                         
81723       906             Non-NLS                 9v9  Football   
            907             Non-NLS                 7v7  Football   
            908             Non-NLS                 5v5  Football   
            909             Non-NLS               11v11  Football   

                                         League  
Club PFF ID                                      
81723       906  Cornwall Youth Football League  
            907  Cornwall Youth Football League  
            908  Cornwall Youth Football League  
            909  Cornwall Youth Football League  "
2,Cornwall FA,West,Bude Town,74828,In Progress,2,3,1-4,Club,NLS 5-6,Parent,,91176ecf-1480-e311-8b4d-001e4f28882a,BROAD CLOSE,,Bude,Cornwall,EX23 8DR,1041320,-4.5361755,50.8292447,E04011409,"                Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                        
74828       70  Bude Town       1st       NLS 5-6           Open   
            71  Bude Town       2nd       NLS 5-6           Open   
            72  Bude Town      Vets       NLS 5-6       Veterans   

               Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                            
74828       70                Adult        Male        NonDisability   
            71                Adult        Male        NonDisability   
            72                Adult        Male        NonDisability   

               Team Football Level Team Match Category Team Type  \
Club PFF ID                                                        
74828       70              Step 6               11v11  Football   
            71             Non-NLS               11v11  Football   
            72             Non-NLS               11v11  Football   

                                                  League  
Club PFF ID                                               
74828       70  South West Peninsula Football League Ltd  
            71                  St Piran Football League  
            72                  Cornwall Veterans League  "
3,Cornwall FA,West,Bude Town Youth,74830,In Progress,2,14,11-20,Club,GRF,Child,74828.0,119bd6e7-1480-e311-8b4d-001e4f28882a,BROAD CLOSE,,Bude,Cornwall,EX23 8DR,1041320,-4.535175499999999,50.8292447,E04011409,"                      Club Name    Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                                 
74830       73  Bude Town Youth          NaN           GRF            U10   
            74  Bude Town Youth          NaN           GRF             U9   
            75  Bude Town Youth          NaN           GRF             U8   
            76  Bude Town Youth       Blades           GRF            U11   
            77  Bude Town Youth      Blazers           GRF            U12   
            78  Bude Town Youth        Blues           GRF            U14   
            79  Bude Town Youth  Bravehearts           GRF            U11   
            80  Bude Town Youth        Girls           GRF            U13   
            81  Bude Town Youth        Girls           GRF            U15   
            82  Bude Town Youth        Girls           GRF            U11   
            83  Bude Town Youth        Girls           GRF             U9   
            84  Bude Town Youth      Purples           GRF            U13   
            85  Bude Town Youth    Sky Blues           GRF            U12   
            86  Bude Town Youth       Swifts           GRF            U18   
            87  Bude Town Youth       Swifts           GRF            U18   

               Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                            
74830       73                Youth       Mixed        NonDisability   
            74                Youth       Mixed        NonDisability   
            75                Youth       Mixed        NonDisability   
            76                Youth       Mixed        NonDisability   
            77                Youth       Mixed        NonDisability   
            78                Youth       Mixed        NonDisability   
            79                Youth       Mixed        NonDisability   
            80                Youth      Female        NonDisability   
            81                Youth      Female        NonDisability   
            82                Youth      Female        NonDisability   
            83                Youth      Female        NonDisability   
            84                Youth       Mixed        NonDisability   
            85                Youth       Mixed        NonDisability   
            86                Youth      Female        NonDisability   
            87                Youth      Female        NonDisability   

               Team Football Level Team Match Category Team Type  \
Club PFF ID                                                        
74830       73            Friendly                 7v7  Football   
            74             Non-NLS                 7v7  Football   
            75             Non-NLS                 5v5  Football   
            76             Non-NLS                 9v9  Football   
            77             Non-NLS                 9v9  Football   
            78             Non-NLS               11v11  Football   
            79             Non-NLS                 9v9  Football   
            80             Non-NLS                 9v9  Football   
            81             Non-NLS               11v11  Football   
            82            Friendly                 9v9  Football   
            83             Non-NLS                 7v7  Football   
            84             Non-NLS               11v11  Football   
            85             Non-NLS                 9v9  Football   
            86             Non-NLS               11v11  Football   
            87             Non-NLS               11v11  Football   

                                            League  
Club PFF ID                                         
74830       73      Cornwall Youth Football League  
            74      Cornwall Youth Football League  
            75      Cornwall Youth Football League  
            76      Cornwall Youth Football League  
            77      Cornwall Youth Football League  
            78      Cornwall Youth Football League  
            79      Cornwall Youth Football League  
            80      Cornwall Youth Football League  
            81      Cornwall Youth Football League  
            82      Cornwall Youth Football League  
            83      Cornwall Youth Football League  
            84      Cornwall Youth Football League  
            85      Cornwall Youth Football League  
            86  Cornwall U18 Girls Football League  
            87      Cornwall Youth Football League  "
4,Cornwall FA,West,Kilkhampton,79768,In Progress,1,2,1-4,Club,GRF,Parent,,cf8c71db-1480-e311-8b4d-001e4f28882a,LAMB PARK,"A39, KILKHAMPTON",Bude,Cornwall,EX23 9QU,6015276,-4.4875204,50.8719451,E04011452,"                   Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                           
79768       379  Kilkhampton       1st           GRF           Open   
            380  Kilkhampton       2nd           GRF           Open   

                Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                             
79768       379                Adult        Male        NonDisability   
            380                Adult        Male        NonDisability   

                Team Football Level Team Match Category Team Type  \
Club PFF ID                                                         
79768       379             Non-NLS               11v11  Football   
            380             Non-NLS               11v11  Football   

                                   League  
Club PFF ID                                
79768       379  St Piran Football League  
            380  St Piran Football League  "
5,Cornwall FA,West,Kilkhampton Women,109008,Non Accredited,0,1,1-4,Club,GRF,Parent,,58429e70-e727-ef11-b6e3-005056bc5e93,LAMB PARK,"A39, KILKHAMPTON",Bude,Cornwall,EX23 9QU,6015276,-4.4865204,50.8719451,E04011452,"                         Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                                 
109008      381  Kilkhampton Women       1st           GRF           Open   

                Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                             
109008      381                Adult      Female        NonDisability   

                Team Football Level Team Match Category Team Type  \
Club PFF ID                                                         
109008      381             Non-NLS               11v11  Football   

                                           League  
Club PFF ID                                        
109008      381  Cornwall Women's Football League  "
6,Cornwall FA,West,Morwenstow,74231,In Progress,1,3,1-4,Club,GRF,Parent,,ec8c71db-1480-e311-8b4d-001e4f28882a,THE PLAYING FIELD,,Bude,Cornwall,EX23 9SL,6020921,-4.52505,50.9043599,E04011492,"                  Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                          
74231       440  Morwenstow       1st           GRF           Open   
            441  Morwenstow       2nd           GRF           Open   
            442  Morwenstow   Walking           GRF           Open   

                Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                             
74231       440                Adult        Male        NonDisability   
            441                Adult        Male        NonDisability   
            442                Adult       Mixed        NonDisability   

                Team Football Level Team Match Category         Team Type  \
Club PFF ID                                                                 
74231       440             Non-NLS               11v11          Football   
            441             Non-NLS               11v11          Football   
            442             Non-NLS                 5v5  Walking Football   

                                                  League  
Club PFF ID                                               
74231       440              North Devon Football League  
            441              North Devon Football League  
            442  Age UK Cornwall Walking Football League  "
7,Cornwall FA,West,Morwenstow Youth,74232,In Progress,1,8,5-10,Club,GRF,Child,74231.0,e49ad6e7-1480-e311-8b4d-001e4f28882a,THE PLAYING FIELD,,Bude,Cornwall,EX23 9SL,6020921,-4.52405,50.9043599,E04011492,"                        Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                                
74232       443  Morwenstow Youth       NaN           GRF            U10   
            444  Morwenstow Youth       NaN           GRF            U14   
            445  Morwenstow Youth       NaN           GRF            U13   
            446  Morwenstow Youth       NaN           GRF            U15   
            447  Morwenstow Youth       NaN           GRF            U12   
            448  Morwenstow Youth       NaN           GRF             U8   
            449  Morwenstow Youth       NaN           GRF             U9   
            450  Morwenstow Youth       NaN           GRF            U16   

                Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                             
74232       443                Youth       Mixed        NonDisability   
            444                Youth       Mixed        NonDisability   
            445                Youth       Mixed        NonDisability   
            446                Youth       Mixed        NonDisability   
            447                Youth       Mixed        NonDisability   
            448                Youth       Mixed        NonDisability   
            449                Youth       Mixed        NonDisability   
            450                Youth       Mixed        NonDisability   

                Team Football Level Team Match Category Team Type  \
Club PFF ID                                                         
74232       443             Non-NLS                 7v7  Football   
            444             Non-NLS               11v11  Football   
            445             Non-NLS               11v11  Football   
            446             Non-NLS               11v11  Football   
            447             Non-NLS                 9v9  Football   
            448             Non-NLS                 5v5  Football   
            449             Non-NLS                 7v7  Football   
            450             Non-NLS               11v11  Football   

                                         League  
Club PFF ID                                      
74232       443        North Devon Youth League  
            444        North Devon Youth League  
            445        North Devon Youth League  
            446        North Devon Youth League  
            447        North Devon Youth League  
            448  Cornwall Youth Football League  
            449  Cornwall Youth Football League  
            450        North Devon Youth League  "
8,Cornwall FA,West,Millbrook,74069,Accredited,1,2,1-4,Club,NLS 5-6,Parent,,b59474d5-1480-e311-8b4d-001e4f28882a,JENKINS PARK,MILLBROOK FOOTBALL CLUB MILL ROAD,MILLBROOK,Cornwall,PL10 1EN,6020511,-4.20535,50.34955,E04011489,"                 Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                         
74069       437  Millbrook       1st       NLS 5-6           Open   
            438  Millbrook       1st       NLS 5-6           Open   
            439  Millbrook       2nd       NLS 5-6           Open   

                Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                             
74069       437                Adult        Male        NonDisability   
            438                Adult        Male        NonDisability   
            439                Adult        Male        NonDisability   

                Team Football Level Team Match Category Team Type  \
Club PFF ID                                                         
74069       437              Step 5               11v11  Football   
            438              Step 5               11v11  Football   
            439              Step 7               11v11  Football   

                                                   League  
Club PFF ID                                                
74069       437  South West Peninsula Football League Ltd  
            438                   Western Football League  
            439                  St Piran Football League  "
9,Cornwall FA,West,Torpoint AFC Juniors,79942,In Progress,1,5,5-10,Club,GRF,Parent,,d3c7c467-1c80-e311-8b4d-001e4f28882a,CARBEILE JUNIOR SCHOOL,TREVOL ROAD,Torpoint,Cornwall,PL11 2NH,30007618,-4.2070405,50.3775551,E04011591,"                            Club Name Team Name Club Sub Type Team Age Group  \
Club PFF ID                                                                    
79942       809  Torpoint AFC Juniors  Carbeile           GRF             U9   
            810  Torpoint AFC Juniors    Hawkes           GRF             U8   
            811  Torpoint AFC Juniors   Polhawn           GRF            U10   
            812  Torpoint AFC Juniors   Sharrow           GRF            U10   
            813  Torpoint AFC Juniors   Under 7           GRF             U7   

                Adult or Youth Team? Team Gender Team Disability Type  \
Club PFF ID                                                             
79942       809                Youth       Mixed        NonDisability   
            810                Youth       Mixed        NonDisability   
            811                Youth       Mixed        NonDisability   
            812                Youth       Mixed        NonDisability   
            813                Youth       Mixed        NonDisability   

                Team Football Level Team Match Category Team Type  \
Club PFF ID                                                         
79942       809             Non-NLS                 7v7  Football   
            810             Non-NLS                 5v5  Football   
            811             Non-NLS                 7v7  Football   
            812             Non-NLS                 7v7  Football   
            813             Non-NLS                 5v5  Football   

                                                League  
Club PFF ID                                             
79942       809  Adrenalin Devon Junior & Minor League  
            810                                    NaN  
            811  Adrenalin Devon Junior & Minor League  
            812  Adrenalin Devon Junior & Minor League  
            813                                    NaN  "
